"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
86,SAGARTAL MEN ROAD,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","12,00,00,000","12,00,00,000","20,000","30,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
87,SAGARTAL ROAD (JAGNAPURA TIRAHE SE A. B. ROAD TAK),"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","12,00,00,000","12,00,00,000","20,000","30,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 07, Tehsil : Gird",,,,,,,,,,,,,,,,,
88,CHAR SHAR KA NAKA MAN ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","7,20,00,000","7,20,00,000","25,000","37,500"
89,"CHAR SHAR KA NAKA ROAD CHOD KAR,RAM NAGAR,PRASAD NAGAR","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","7,20,00,000","7,20,00,000","15,000","22,500"
90,"GANESH COLONY,INDIRA NAGAR, NEW INDIRA NAGAR  ROAD CHOD KAR ,","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","7,92,00,000","7,92,00,000","15,000","22,500"
91,"MEWATI MOHALLA,JAHANGIR KATRA, MADANPURA","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","7,92,00,000","7,92,00,000","15,000","22,500"
92,MORENA A.B. LINK ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","15,00,00,000","15,00,00,000","25,000","37,500"
93,P.H.E. COLONY,"16,800","25,200","16,800","29,800","24,000","22,400","20,800","49,200","47,600","46,000","23,840","39,360","9,00,00,000","9,00,00,000","16,800","25,200"
94,SAGAR TAL MEN ROAD,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","12,00,00,000","12,00,00,000","20,000","30,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
95,"GRASIM VIHAR,NEW GRASIM VIHAR","14,000","21,000","14,000","27,000","21,200","19,600","18,000","45,000","43,400","41,800","21,600","36,000","9,00,00,000","9,00,00,000","14,000","21,000"
96,"J.C. MILL BRIDGE SE JALALPUR CHOURAHA TAK DONO AUR ROAD
PAR,","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
97,NAHAR ROAD,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","10,00,00,000","10,00,00,000","20,000","30,000"
98,"READYMADE GARMENT PARK GADAIPURA,","14,000","21,000","14,000","27,000","21,200","19,600","18,000","45,000","43,400","41,800","21,600","36,000","10,00,00,000","10,00,00,000","14,000","21,000"
99,SAMSHAN ROAD,"18,000","27,000","18,000","31,000","25,200","23,600","22,000","51,000","49,400","47,800","24,800","40,800","10,00,00,000","10,00,00,000","18,000","27,000"
100,SWAJPHARM (SHARMA PHARM) CHAR SHAHAR KE NAKA SE A. B. ROAD LINK ROAD TAK,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","13,60,00,000","13,60,00,000","25,000","37,500"
101,SWAJPHARM (SHARMA PHARM) ROAD SE DOOR,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","7,20,00,000","7,20,00,000","15,000","22,500"
102,"VIJAY NAGAR, RAMESWAR NAGAR, NEW NARSINGH NAGAR, SHIV NAGAR, SHIVAJI  COLONY, GOPAL NAGAR, DURGAPURI, DURGA COLONY,CHODE KE HANUMAN COLONY, BHIM NAGAR, GADAI PURA ROAD SE DOOR","14,000","21,000","14,000","27,000","21,200","19,600","18,000","45,000","43,400","41,800","21,600","36,000","9,00,00,000","9,00,00,000","14,000","21,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
103,CHAR SHAHAR KA NAKA SE MADANKUI BIJLI GHAR SUWARN REKHA NALE TAK,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","9,00,00,000","9,00,00,000","15,000","22,500"
104,"FORT ROAD, KILAGATE SE HAJIRA CHORAHA TAK MAIN ROAD","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
105,"FORT ROAD, KILAGATE SE HAJIRA CHORAHA TAK MAIN ROAD SE DOOR","14,800","22,200","14,800","27,800","22,000","20,400","18,800","46,200","44,600","43,000","22,240","36,960","14,80,00,000","14,80,00,000","14,800","22,200"
106,JODHUPURA,"16,000","24,000","16,000","29,000","23,200","21,600","20,000","48,000","46,400","44,800","23,200","38,400","9,00,00,000","9,00,00,000","16,000","24,000"
107,MORENA A. B. LINK ROAD PAR RAILWAY BRIJ TAK NAGAR NIGAM SIMA,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
108,"NOMAHALA, CHOK BAZAR, HALWAT KHANA ,FORT ROAD, KILAGATE SE HAJIRA CHORAHA TAK MAIN ROAD SE DOOR","14,800","22,200","14,800","27,800","22,000","20,400","18,800","46,200","44,600","43,000","22,240","36,960","14,80,00,000","14,80,00,000","14,800","22,200"
109,RANIPURA (MAIN ROAD SE DOOR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","9,00,00,000","9,00,00,000","15,000","22,500"
110,RANIPURA MAIN ROAD,"18,000","27,000","18,000","31,000","25,200","23,600","22,000","51,000","49,400","47,800","24,800","40,800","10,00,00,000","10,00,00,000","18,000","27,000"
111,"WARIYO KA MOHALLA, SODA KA KUAA,RANGIYANA MOHALLA, KASHI NARESH KI GALI, POSTIKHANA,RAJA KI MANDI,GOLPADA,MADAI MOHALLA, MADI KA BAZAR,","12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","8,50,00,000","8,50,00,000","12,000","18,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
112,AAUKHANA KALA,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","8,00,00,000","8,00,00,000","25,000","37,500"
113,"GHASMANDI MAIN ROAD PAR, HALWAT KHANE  SE PAHELE TAK","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","8,00,00,000","8,00,00,000","25,000","37,500"
114,"GWALIOR FORT,KILE KI MES,MES KE PICHE","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","5,60,00,000","5,60,00,000","10,000","15,000"
115,HALWAT KHANA (MAIN CHOK PAR),"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","14,40,00,000","14,40,00,000","25,000","37,500"
116,"KESHOBAAG, KISHANBAAG","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","13,20,00,000","13,20,00,000","25,000","37,500"
117,KOTESWAR COLONY,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","12,00,00,000","12,00,00,000","15,000","22,500"
118,LADHEDI MEN ROAD,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","12,00,00,000","12,00,00,000","15,000","22,500"
119,"TAMBESWAR GALI, SUNARAN GALI, SHUBHASPURI, SHITLA GALI,LAKERA GALI, NILGRAN GALI,MANGLESWAR ROAD, KASHI NARESH KI GALI, KANOON GOYAN, CHOTA BAZAR, DODAPOR,GOLANDAJ KI EK PATTI, GOLANDAJ (NAI BASTI) GHASMANDI MAIN ROAD SE DOOR","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","9,00,00,000","9,00,00,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
120,CHAR SHAHAR KA NAKA SE HAJIRA CHORAHE TAK MAIN ROAD PAR,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
121,"CHAR SHAHAR KA NAKA SE HAJIRA CHORAHE TAK MAIN ROAD SE HATKAR,BIMA WALI GALI","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","14,80,00,000","14,80,00,000","15,000","22,500"
122,CHAR SHAHAR KA NAKA SE J. C. MIL GATE TAK MAIN ROAD PAR,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","18,40,00,000","18,40,00,000","25,000","37,500"
123,FORT ROAD KILAGATE SE HAJIRA CHORAHE TAK MAIN ROAD,"25,000","40,000","25,000","38,000","32,200","30,600","29,000","64,000","62,400","62,400","30,400","51,200","20,00,00,000","20,00,00,000","25,000","40,000"
124,FORT ROAD KILAGATE SE HAJIRA CHORAHE TAK MAIN ROAD SE HATKAR,"14,800","22,200","14,800","27,800","22,000","20,400","18,800","46,200","44,600","43,000","22,240","36,960","14,80,00,000","14,80,00,000","14,800","22,200"
125,"KHARA KUAA, GOS MAKBARA, GOSPURA NO. 2","9,600","14,400","9,600","22,600","16,800","15,200","13,600","38,400","36,800","36,800","18,080","30,720","9,60,00,000","9,60,00,000","9,600","14,400"
126,TANSEN ROAD HAJIRA CHOREHE SE RAILWAY PHATAK TAK MAIN ROAD PAR,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","32,00,00,000","32,00,00,000","40,000","60,000"
127,TANSEN ROAD HAJIRA CHOREHE SE RAILWAY PHATAK TAK MAIN ROAD SE HATKAR,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
128,"gospura- mali wali gali,purani pulis chauki ,prajapati mohalla, karigaron ki bajariya, jankidas ki bagiya, jatav mohalla, harijan basti, kutiyana mohalla, baghel mohalla, baniyapada
,bhogiram ka bada","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","7,20,00,000","7,20,00,000","15,000","22,500"
129,mahavir chok fort rod kila get se hajira chaurahe tak mukhya rod se hatkar,"14,800","22,200","14,800","27,800","22,000","20,400","18,800","46,200","44,600","43,000","22,240","36,960","14,80,00,000","14,80,00,000","14,800","22,200"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
130,CHAR SAHAR KE NAKE SE POST OFFICE MEN ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","18,40,00,000","18,40,00,000","25,000","37,500"
131,HAJIRA CHORAHE SE J. C. MIL ROAD BIRLA NAGAR PUL TAK MAIN ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","14,40,00,000","14,40,00,000","25,000","37,500"
132,HAJIRA CHORAHE SE MAIN ROAD CHAR SHAHAR KE NAKE TAK,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
133,HAJIRA CHORAHE SE MAIN ROAD CHAR SHAHAR KE NAKE TAK ROAD SE HATKAR,"14,400","21,600","14,400","27,400","21,600","20,000","18,400","45,600","44,000","42,400","21,920","36,480","14,40,00,000","14,40,00,000","14,400","21,600"
134,INTAK KARYALAY KE BAGAL MAIN 25 QUATORS,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","6,00,00,000","6,00,00,000","10,000","15,000"
135,"MAYCHAND KA DHARMSHALA,  FORT ROAD KILAGATE SE HAJIRA CHORAHE TAKROAD SE HATKAR","14,800","22,200","14,800","27,800","22,000","20,400","18,800","46,200","44,600","43,000","22,240","36,960","14,80,00,000","14,80,00,000","14,800","22,200"
136,"PACHASA NAGAR, MADHUVAN ENCLAVE (CHIRA GHAR), CHIRA GHAR,BIRLA NAGAR LINE NO 1,2,3,7,8,9,10,11,12,13,14","12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","6,00,00,000","6,00,00,000","12,000","18,000"
137,"SHUBHAS NAGAR, RASULABAD,  J. C. MIL ROAD BIRLA NAGAR PUL TAK MAIN ROAD","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","14,40,00,000","14,40,00,000","25,000","37,500"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
138,FORT ROAD KILAGATE SE HAJIRA CHORAHE TAK MAIN ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
139,GOSPURA NO. 2,"19,000","28,500","19,000","32,000","26,200","24,600","23,000","52,500","50,900","49,300","25,600","42,000","10,00,00,000","10,00,00,000","19,000","28,500"
140,"LOHAMANDI MAIN ROAD PAR,KILA GATE SE SEVANAGAR TAK MAIN ROAD,","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","14,80,00,000","14,80,00,000","25,000","37,500"
141,"MAYCHAND KA DHARMSHALA,  FORT ROAD KILAGATE SE HAJIRA CHORAHE TAKROAD SE HATKAR","14,800","22,200","14,800","27,800","22,000","20,400","18,800","46,200","44,600","43,000","22,240","36,960","14,80,00,000","14,80,00,000","14,800","22,200"
142,"RAMTAPURA,RAMLAL PANDAY KA BADA, KUMHAR MOHALLA,RATI PHATAK, PACCHIPADA, NANAK SAHAB KA BADA, KOTA WALA MOHALLA, KHIRKI MOHALLA, KHACCHARAM KI GALI, HORIPURA, GANJ MOHALLA, GANJ CHOK, DHANNALAL KA BAGIYA, LOHAMANDI MAIN ROAD SE HATKAR","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","16,20,00,000","16,20,00,000","20,000","30,000"
143,TANSEN MEN ROAD,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","32,00,00,000","32,00,00,000","40,000","60,000"
144,TANSEN NAGAR (MAIN ROAD HATKAR),"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","22,44,00,000","22,44,00,000","25,000","37,500"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
145,FORT ROAD MAIN ROAD (SEVA NAGAR SE KHAWAJA SAHAB KE MOD TAK),"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
146,"KILA TALEHETI,NURGANJ MAIN ROAD SE HATKAR, GUDADEE MOHALLA,","12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","9,00,00,000","9,00,00,000","12,000","18,000"
147,LOHAMANDI MAIN ROAD PAR,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","14,40,00,000","14,40,00,000","15,000","22,500"
148,"LOHAMANDI MAIN ROAD SE HATKAR, KHAWAJA NAGAR,RATI PHATAK, BULAKIDAS KI BAGIYA,LOVE KUSH COLONY, BAJRANG COLONY, MAA VIHAR COLONY,BADRI PRASAD COLONY","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","10,00,00,000","10,00,00,000","20,000","30,000"
149,RAMTAPURA NO. 1 & 2,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","16,28,00,000","16,28,00,000","20,000","30,000"
150,"SEVANAGAR COLONY MAIN ROAD SE HATKAR, TULSI VIHAR COLONY,  NEW TULSI VIHAR COLONY,AMARKANTAK ENCLAVE (NEW TULSHI VIHAR COLONY)","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","15,00,00,000","15,00,00,000","20,000","30,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
151,BIRLA NAGAR LINE NO. 4 & 5 & 6,"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","8,00,00,000","8,00,00,000","12,000","18,000"
152,CHAR SHAR KA NAKA ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
153,"GADAIPURA GRAM, SHRI KRISNA NAGAR, SHIVAJI NAGAR, SHARAB GODAM, RADHA COLONY , MADHVI NAGAR (GADAIPURA), LEDAR COLONY, CHAR SHAR KA NAKA ROAD SE HATKAR,KALLU KACHI KI BAGIYA,","14,000","21,000","14,000","27,000","21,200","19,600","18,000","45,000","43,400","41,800","21,600","36,000","9,00,00,000","9,00,00,000","14,000","21,000"
154,"GADAIPURA ROAD SE HATKAR, GOSWAMI NAGAR, JAMADAR LINE, JATI KI LINE","14,000","21,000","14,000","27,000","21,200","19,600","18,000","45,000","43,400","41,800","21,600","36,000","1,20,00,000","1,20,00,000","14,000","21,000"
155,"GADAIPURA ROAD SE HATKAR,NEW SANJAY NAGAR (MAIN ROAD SE HATKAR), SANJAY NAGAR (MAIN ROAD SE HATKAR), MAA VAISNOPURAM, MORENA A.B. LINK ROAD SE HATKAR","14,000","21,000","14,000","27,000","21,200","19,600","18,000","45,000","43,400","41,800","21,600","36,000","7,20,00,000","7,20,00,000","14,000","21,000"
156,HARIJAN BASTI,"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","7,20,00,000","7,20,00,000","12,000","18,000"
157,J. C. MIL (MAIN ROAD ),"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
158,J. C. MIL (MAIN ROAD CHODKAR),"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","5,60,00,000","5,60,00,000","12,000","18,000"
159,MORENA A.B. LINK ROAD PAR,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
160,NEHAR ROAD,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","10,00,00,000","10,00,00,000","20,000","30,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 15, Tehsil : Murar",,,,,,,,,,,,,,,,,
161,SATABDIPURAM ROAD,"18,000","27,000","18,000","31,000","25,200","23,600","22,000","51,000","49,400","47,800","24,800","40,800","10,00,00,000","10,00,00,000","18,000","27,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
162,TANSEN NAGAR (MAIN ROAD HATKAR),"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
163,TANSEN NAGAR (MAIN ROAD PAR ),"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","40,00,00,000","40,00,00,000","40,000","60,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 16, Tehsil : Gird",,,,,,,,,,,,,,,,,
164,"GADAIPURA AVAM USASE LGA SETRA
,BADA KANCH MIL, SIMCO LINE, SHYAM MANDIR KE PICHE, PURANI RESHAM MIL, PURANA CHANDANPURA, PRASUTI GRAHA, PRAGATI NAGAR, NEW RESHAM MIL, NEW CHANDANPURA, NEHARU NAGAR, MOTILAL AGARWAL ROAD, ASISTANT LINE","14,000","21,000","14,000","27,000","21,200","19,600","18,000","45,000","43,400","41,800","21,600","36,000","6,40,00,000","6,40,00,000","14,000","21,000"
165,HAZIRA SE OVAR BIRAJ KE PASS POST OFFICE  HOKAR POOL TAK,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","20,00,00,000","20,00,00,000","25,000","37,500"
166,J.C. MIL LINE BASTI GATE KE ROAD TAK,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","10,00,00,000","10,00,00,000","15,000","22,500"
167,KANCH MIL MEN ROAD PAR,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","15,00,00,000","15,00,00,000","20,000","30,000"
168,NEW COLONY NO. 1,"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","6,40,00,000","6,40,00,000","12,000","18,000"
169,TANSEN  (MAIN ROAD SE HATKAR),"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","15,00,00,000","15,00,00,000","25,000","37,500"
