"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
69,SAGARTAL CHORAHA SE JALALPURCHORAHA DUBBLE DIVIDER ROAD PAR AKBARPUR MUJAFTA (KISI BHI GRAM ME),"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","12,00,00,000","12,00,00,000","20,000","30,000"
70,SAGARTAL CHORAHA SE SACHETI PETROL  PAMP TAK,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","8,00,00,000","8,00,00,000","20,000","30,000"
71,SAGARTAL TIRAHE SE JALALPUR TIRAHA DUBBLE DIVIDER ROAD PAR (KISI BHI GRAM ME),"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","12,00,00,000","12,00,00,000","20,000","30,000"
72,SAGARTAL TIRAHE SE SACHETI PETROL PUMP TAK ROAD PAR,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","8,00,00,000","8,00,00,000","20,000","30,000"
73,SAGARTAL TIRAHE SE SACHETI PETROL PUMP TAK ROAD SE HATKAR,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","8,00,00,000","8,00,00,000","15,000","22,500"
74,SAMSHN ROAD,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","8,00,00,000","8,00,00,000","15,000","22,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 05, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
75,VIJAY LAXMIDHAAM,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","4,80,00,000","4,80,00,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 06, Tehsil : Gird",,,,,,,,,,,,,,,,,
76,"BANDAGHURA, MAIN ROAD SE DOOR","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","6,40,00,000","6,40,00,000","10,000","15,000"
77,BANDAGURA MEN ROAD,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","10,00,00,000","10,00,00,000","15,000","22,500"
78,COLONYPURA,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","6,40,00,000","6,40,00,000","8,000","12,000"
79,GHASMANDI MAIN ROAD PAR,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","10,00,00,000","10,00,00,000","10,000","15,000"
80,"HATHIYAPOR, GOBINDPOR, SATYANARAYAN MOHALLA,TIRCHI HAT,SUNARAN MOHALLA, SUBHASHPURI,SHITLA GALI, RANGIYANA MOHALLA, PATTAPURA, MEWATI MOHALLA,MANGLESWAR, JOSIYANA, JHANSI GANJ, HAWALI PICHWADA,JAHANGIR KATRA MAIN ROAD SE DOOR, GHASMANDI MAIN ROAD SE DOOR","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","6,40,00,000","6,40,00,000","15,000","22,500"
81,"JAGNAPURA NO 1,2,","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","6,80,00,000","6,80,00,000","15,000","22,500"
82,LADERI,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","6,40,00,000","6,40,00,000","10,000","15,000"
83,LAGEDI MAN ROAD,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","4,50,00,000","4,50,00,000","15,000","22,500"
84,MANPUR GIRD,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","6,60,00,000","6,60,00,000","20,000","30,000"
85,MOHAMADPUR,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","7,48,00,000","7,48,00,000","15,000","22,500"
